"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"ATP6V0D1",2183,2386,5538,2092,1688,2022,1548,1351,2073,588,1945,646,1304,293,453,115
"ATP6V0D1-DT",153,218,303,145,137,142,116,77,139,45,117,33,105,5,5,3
"ATP6V0E1",3587,3229,9634,2564,3356,2992,3594,1389,3365,1229,4414,1217,2094,262,476,130
"ATP6V0E2",1671,3437,3321,2043,3595,3774,2715,1490,2246,894,2946,856,1609,252,177,130
"ATP6V0E2-AS1",151,242,335,141,226,363,192,123,402,189,392,114,323,8,8,6
"ATP6V1A",6932,6910,17146,6445,2134,3205,2525,1336,3982,1289,4597,1561,2590,299,440,91
"ATP6V1B2",3176,3800,9497,3937,2030,3438,2320,2185,2796,785,3169,1019,2056,326,405,104
"ATP6V1C1",2086,2278,7016,2396,1637,2517,2016,1176,2155,730,2657,807,1757,112,166,58
"ATP6V1D",3531,3316,9569,3301,2128,2179,1893,1389,1702,646,2302,682,1154,126,128,70
"ATP6V1E1",2740,3265,7552,2703,2667,3111,2488,1332,2643,822,3110,953,1537,186,220,68
"ATP6V1E2",200,417,363,245,691,1011,527,391,296,96,416,82,198,40,34,20
"ATP6V1F",1615,2096,3722,1893,1612,1844,1458,704,1156,459,1300,424,719,185,153,91
"ATP6V1FNB",28,54,75,27,40,25,28,26,51,8,34,2,23,3,2,3
"ATP6V1G1",8898,12510,18549,7899,10865,13269,9519,5646,6499,2218,8610,2661,3874,518,517,267
"ATP6V1G2",41,74,138,149,95,109,112,94,146,39,104,32,118,6,6,2
"ATP6V1H",2669,3226,7088,2504,1960,2582,1961,1788,2100,606,2290,650,1401,139,143,68
"ATP7A",2382,2567,7529,2126,1713,1994,1832,1226,2906,891,3563,843,2130,102,143,59
"ATP7B",113,148,463,143,46,103,42,62,107,30,83,30,70,1,2,0
"ATP8A1",7418,10801,18821,7073,9010,13138,9450,8731,15301,3531,16329,4751,10002,547,594,444
"ATP8A1-DT",37,31,78,11,14,9,3,0,30,3,23,1,4,1,1,0
"ATP8A2",211,870,1015,440,197,733,230,175,414,414,1246,204,343,39,19,18
"ATP8B1",12,18,47,20,2,5,1,1,58,14,69,18,62,0,0,0
"ATP8B2",4326,6558,14366,6452,11673,17650,12501,8047,7174,1905,6819,2008,4534,579,601,352
"ATP8B3",93,175,204,189,70,159,70,58,140,36,204,48,103,10,5,5
"ATP8B4",439,565,408,349,314,826,234,462,231,42,137,34,129,79,45,36
"ATP9A",955,1253,4580,1691,80,176,124,93,749,315,567,424,712,62,34,32
"ATP9B",2689,3825,6318,2900,4170,4220,3788,4265,3802,853,3632,956,3583,152,153,104
"ATPAF1",3363,4239,9088,4768,1686,2238,1875,947,1673,650,2227,844,1229,100,105,44
"ATPAF2",497,833,1213,682,712,810,470,653,590,167,569,203,478,50,34,21
"ATPSCKMT",700,885,2071,889,291,504,298,241,482,151,672,175,365,14,23,13
"ATR",6686,7243,17779,5711,5933,8360,6174,5745,6133,1768,7121,2011,5043,293,348,194
"ATRAID",3181,3672,6323,3165,2761,3116,2564,1436,2137,701,2652,887,1293,171,180,78
"ATRIP",35,81,79,71,59,43,50,33,50,9,37,13,24,1,2,3
"ATRN",1478,2091,4539,1982,1867,2402,2140,1577,2401,616,2570,749,1834,142,174,75
"ATRNL1",22,14,66,27,0,1,3,0,47,13,66,11,37,0,0,0
"ATRX",6779,14183,17945,11199,16897,19641,18996,11010,18612,4976,19046,5277,15141,643,772,381
"ATXN1",1920,3514,6095,2772,2829,3632,3627,3846,2783,652,2550,611,2469,157,193,158
"ATXN1-AS1",55,32,116,54,56,82,39,47,65,4,50,5,41,1,6,0
"ATXN10",7097,7937,16636,8090,3785,5304,3143,2519,3919,1182,4656,1427,2942,267,304,120
"ATXN1L",2529,4165,7592,4004,4877,6210,4616,3800,3423,923,3305,1075,2541,277,287,188
"ATXN2",1211,1313,2920,1248,1606,1565,1599,1187,1832,485,1628,500,2070,84,88,46
"ATXN2L",1809,3606,4814,3400,2864,4787,3189,3388,3877,810,2822,726,4162,269,204,158
"ATXN3",3652,4595,10396,4314,3735,3954,3515,2332,3959,1146,4487,1252,2815,153,202,91
"ATXN7",3409,5636,10044,6147,10275,9778,9983,9741,5859,1189,5273,1421,5416,338,312,348
"ATXN7L1",575,1075,1620,858,2013,1897,2129,1122,853,246,932,218,768,70,71,32
"ATXN7L2",424,669,1452,670,458,903,464,471,1061,209,854,230,591,52,40,25
"ATXN7L3",2620,4492,7117,3773,4329,5464,4450,2820,4347,1110,4177,1157,2757,298,332,152
"ATXN7L3B",17823,24907,48157,22626,21523,22369,18733,14076,12066,3226,13577,4146,7739,1004,922,588
"AUH",680,1021,1900,814,726,888,638,758,935,278,997,316,797,40,42,18
"AUNIP",304,347,630,388,14,133,24,9,64,21,136,57,51,5,1,3
"AUP1",2665,3394,6503,3153,2645,4131,2772,2079,3587,868,3475,1001,2461,288,290,115
"AURKA",1079,1041,2665,1138,112,575,194,78,310,181,530,200,232,12,12,8
"AURKAIP1",1651,1987,3882,2067,1341,1687,1218,784,1285,366,1361,448,726,129,134,57
"AURKB",1503,1467,3232,2016,74,430,108,64,315,137,518,244,262,17,3,6
"AUTS2",1070,2804,1810,1556,1223,3451,702,2591,2875,587,2745,465,3525,108,30,68
"AVEN",661,770,1544,517,484,554,453,261,339,95,467,146,224,17,34,10
"AVIL",31,55,114,50,19,46,28,32,115,60,157,23,198,1,2,0
"AVL9",4347,5214,12755,4442,4117,4701,4245,3356,4417,1169,5272,1423,4021,213,270,136
"AVPI1",65,76,122,93,159,149,101,69,73,13,73,22,39,16,10,6
"AVPR1A",101,134,980,372,5,4,0,2,23,9,23,18,35,13,4,6
"AXDND1",48,14,61,16,68,12,23,5,56,11,35,6,33,0,0,2
"AXIN1",1435,2906,2826,2014,2733,4410,2998,2337,3736,984,3171,1034,2349,372,281,189
"AXIN2",841,1195,2021,659,2083,2579,1693,1439,1665,507,1455,320,1013,33,31,20
"AXL",121,377,407,409,39,23,44,20,44,18,33,23,63,4,0,1
"AZI2",3257,3879,9838,3417,2449,3169,2415,1586,2977,943,3268,980,2102,137,151,71
"AZIN1",21531,26524,55200,25200,16250,19228,14661,9401,9631,3659,13017,4300,6713,840,776,421
"AZIN2",46,51,134,52,84,84,77,57,135,43,156,37,124,3,3,1
"AZU1",109,384,114,128,2,493,3,9,15,1,17,11,17,6,1,0
"B2M",250557,330160,477056,186903,392128,391372,339371,169977,198805,70647,280845,65399,107802,20993,24321,11489
"B3GALNT1",340,239,960,143,64,219,65,23,94,43,240,126,118,5,12,4
"B3GALNT2",1023,1080,2289,1140,594,578,382,332,767,215,980,310,551,38,29,23
"B3GALT2",23,3,20,9,12,17,42,10,25,7,49,6,23,1,2,2
"B3GALT4",233,453,774,220,327,427,341,203,376,106,320,93,191,51,61,20
"B3GALT5",11,15,36,12,0,0,0,2,55,16,78,9,52,0,0,1
"B3GALT6",993,1712,2921,1487,777,1147,793,610,1244,451,1330,470,672,75,93,44
"B3GALT9",306,309,874,305,123,276,190,82,211,73,228,92,75,14,19,6
"B3GAT1",13,32,31,1,8,37,13,3,27,7,17,3,28,11,7,5
"B3GAT3",688,1219,1905,1089,1090,1570,981,887,1376,340,1190,353,877,96,97,54
"B3GLCT",1348,1730,3507,1047,962,942,955,599,1023,329,1222,543,811,48,55,30
"B3GNT2",9576,11780,29517,10135,5164,7574,5687,3006,7295,2315,11630,3310,4800,468,519,271
"B3GNT3",9,5,0,16,75,5,3,22,13,2,35,1,7,0,0,0
"B3GNT5",258,279,312,494,84,313,69,82,113,9,105,35,60,62,22,17
"B3GNT7",97,380,143,278,95,101,211,121,160,20,80,15,24,119,105,68
"B3GNT8",1,3,14,8,1,24,11,2,8,2,11,6,7,2,5,1
"B3GNT9",87,111,483,144,69,82,85,55,92,43,80,50,104,0,2,2
"B3GNTL1",369,480,773,318,170,390,169,201,617,112,467,128,460,19,9,6
"B4GALNT3",68,108,231,23,90,182,64,6,175,18,62,76,70,21,11,1
"B4GALNT4",39,49,125,48,28,80,58,25,25,16,42,21,24,5,2,1
"B4GALT1",1041,1731,2385,2302,2202,3777,2718,2809,1484,267,1270,308,1489,441,564,274
"B4GALT2",229,282,492,333,40,83,54,36,100,47,125,82,83,9,22,6
"B4GALT3",905,1168,2838,1223,1356,1965,1585,896,1184,430,1382,382,930,102,161,50
"B4GALT4",521,567,1694,545,1287,1496,1471,880,616,192,618,228,506,59,45,34
"B4GALT5",801,1122,1899,793,512,810,674,438,1255,307,1224,433,707,175,146,109
"B4GALT6",2589,2544,8757,3789,50,273,113,97,1117,475,1687,673,1088,26,11,14
"B4GALT7",369,554,1140,340,378,505,434,350,520,136,458,138,409,41,53,13
"B4GAT1",524,595,1525,554,182,269,268,125,337,142,445,130,246,9,25,9
"B9D1",43,53,107,48,13,14,20,16,39,10,26,11,44,2,5,0
"B9D2",382,542,947,479,616,665,870,780,301,62,369,102,213,40,34,39
"BAALC",88,135,310,209,16,161,33,106,87,10,130,55,58,13,3,1
"BAALC-AS1",157,162,481,308,19,36,11,23,76,23,104,35,78,0,0,0
"BABAM1",1115,1306,2475,1229,843,1129,800,527,669,186,804,220,407,41,53,27
"BABAM2",776,1283,2077,915,1200,1375,1016,701,801,221,944,248,602,61,66,38
"BACE1",126,189,478,261,10,61,16,18,115,20,100,32,118,9,13,4
"BACE1-AS",46,69,201,106,57,73,47,24,152,44,112,47,170,5,5,0
"BACE2",56,101,206,44,103,49,214,40,140,44,116,29,115,0,85,4
"BACH1",9790,12139,17336,9128,9643,11382,7820,5793,4300,1262,5114,1645,2906,885,795,323
"BACH1-IT1",55,84,101,56,62,49,55,54,64,12,50,11,82,1,9,3
"BACH1-IT2",35,42,79,40,32,22,27,44,53,18,46,8,78,2,5,0
"BACH2",6221,14141,16027,5964,7962,10381,7037,5153,12820,4172,12898,3240,11912,436,597,226
"BAD",818,1105,1918,1019,835,821,637,463,680,202,738,230,349,56,80,33
"BAG1",2294,3315,6155,2812,2186,2747,2116,1287,1564,409,1616,622,940,181,150,73
"BAG2",592,952,2412,707,490,1113,850,250,433,120,606,182,357,25,49,25
"BAG3",189,896,606,619,1084,1952,939,753,191,116,251,66,128,40,30,15
"BAG4",2291,3179,6302,2959,2157,2498,2080,1554,1515,567,1869,488,1267,96,94,53
"BAG5",5691,9169,14843,7488,8443,9567,7221,4343,4475,1318,6182,1767,3018,351,446,234
"BAG6",4877,8430,13823,8953,5340,7975,5478,3981,6475,1664,5532,1859,4496,557,601,224
"BAHCC1",1395,2677,4985,6191,26,124,42,67,2590,842,2014,873,2720,14,2,0
"BAHD1",626,1238,2866,1248,1228,1807,1556,1046,1663,434,1508,422,1401,135,160,45
"BAIAP2",163,249,333,252,236,213,175,118,277,72,296,80,257,28,20,9
"BAIAP2-DT",203,752,1146,609,255,381,351,171,699,236,871,257,539,46,34,10
"BAIAP2L1",18,24,23,5,4,3,0,4,28,11,38,9,45,1,2,0
"BAIAP3",15,64,43,50,56,147,132,53,148,19,74,23,93,16,42,8
"BAK1",1178,1615,3214,1513,1081,2092,1229,978,1332,456,1570,448,808,165,158,78
"BAMBI",19,24,41,31,33,42,16,4,53,6,46,11,28,18,5,2
"BANF1",1440,2021,4511,2943,1070,1702,1104,603,1582,499,1349,590,1005,124,172,37
"BANK1",198,266,373,224,56,61,709,67,169,31,168,54,200,66,980,22
"BANP",1694,1852,3147,1367,1983,1931,1368,1069,1838,600,1664,451,1322,113,131,64
"BAP1",2339,4127,7039,3920,2794,4592,3047,2586,3562,993,3619,1108,2241,244,271,132
"BARD1",5276,4962,12938,4795,1502,2605,1610,1082,2039,730,2638,907,1414,154,102,49
"BASP1",586,1102,1140,940,131,273,248,73,291,61,181,79,99,26,89,10
"BATF",392,723,1083,357,252,736,298,205,254,85,291,98,178,27,38,13
"BATF3",434,331,532,305,12,10,9,4,71,27,102,38,53,11,5,4
"BAX",502,906,1598,1073,750,1312,881,692,1241,318,1172,322,730,90,89,33
"BAZ1A",4607,8352,16157,7352,7490,12042,8303,5716,9890,3096,11981,4111,7120,529,614,231
"BAZ1A-AS1",438,830,1054,670,1295,1654,985,556,404,99,558,124,274,81,62,46
"BAZ1B",4802,10147,16971,9883,7395,11718,8986,4719,11171,3675,13041,3881,7923,470,557,275
"BAZ2A",1662,2793,5271,3133,3890,6001,5888,4366,5563,1225,4152,1151,5516,360,486,195
"BAZ2B",3542,5596,11030,4999,3722,4907,3763,4240,5762,1502,5764,2112,4851,277,310,145
"BAZ2B-AS1",146,90,397,179,6,31,12,4,62,20,57,26,45,8,13,1
"BBC3",228,457,478,244,536,826,261,292,428,114,365,91,219,56,35,22
"BBIP1",968,901,2681,802,1037,1058,1207,724,855,265,1059,290,874,52,55,23
"BBLN",1687,3351,4872,2574,2195,2686,1703,1134,2685,896,2815,987,1403,183,141,101
"BBOF1",351,448,736,431,315,429,284,193,269,112,357,167,196,15,9,7
"BBS1",33,67,63,57,88,76,52,96,58,15,70,11,56,5,3,2
"BBS10",1005,902,3672,1047,907,934,959,486,995,395,1236,353,722,27,52,10
"BBS12",237,304,725,167,311,289,283,147,192,88,213,68,91,16,15,4
"BBS2",896,1702,5388,1621,1781,2283,2465,3007,2408,479,2760,644,1910,64,110,51
"BBS4",640,958,1644,741,606,927,610,455,798,211,947,257,651,44,23,18
"BBS5",39,58,223,65,46,92,63,74,93,34,119,35,81,1,3,2
"BBS7",933,775,2707,985,734,913,714,344,836,288,1121,334,644,35,43,16
"BBS9",1984,1891,4522,1670,2351,1972,1957,1832,1381,296,1583,323,1184,64,92,40
"BBX",6909,10204,21765,8069,11505,11352,11838,6721,9062,2596,10453,2870,7209,389,645,296
"BCAM",6,11,13,15,0,15,0,3,53,13,44,18,112,0,0,0
"BCAP29",1531,2054,4175,1622,1448,1941,1539,686,1603,373,1580,529,896,80,143,41
"BCAP31",3279,4504,8067,4109,3784,3910,3399,1740,2856,1049,3621,1093,1831,291,440,178
"BCAR1",4,18,12,6,5,3,2,3,53,10,52,12,43,1,0,0
"BCAR3",47,88,169,67,50,58,80,26,91,13,56,29,60,2,24,1
"BCAS1",5,50,33,35,8,29,10,9,61,1,61,3,30,0,0,2
"BCAS2",4067,4923,7969,4164,6224,7294,4647,3150,2439,732,3142,987,1534,183,161,127
"BCAS2P2",6,10,8,4,42,34,53,16,15,2,5,0,2,1,3,0
"BCAS3",1758,2157,4507,1749,2366,2280,1924,1823,2110,634,2101,619,1789,89,139,65
"BCAS4",376,588,979,570,1559,1120,1262,867,957,356,1719,273,878,77,126,61
"BCAT1",16938,18710,34545,19676,817,2140,532,619,3975,1308,5013,2447,2451,36,66,29
"BCAT2",649,831,1543,776,389,701,328,271,597,188,712,206,366,31,49,18
"BCCIP",3327,4941,9094,4811,3204,4215,3108,1906,3007,1067,3843,1298,1974,115,143,66
"BCDIN3D",410,440,1158,364,559,568,485,331,539,197,653,186,369,33,43,15
"BCDIN3D-AS1",42,30,121,47,16,28,29,16,42,18,64,14,58,0,0,1
"BCHE",56,27,43,7,1,0,0,0,29,11,56,26,19,0,0,0
"BCKDHA",119,209,229,236,129,175,127,107,38,9,49,5,32,6,6,4
"BCKDHB",2185,2355,5110,2446,1636,2086,1386,996,1291,384,1589,560,928,74,73,39
"BCKDK",477,660,1402,742,321,449,332,244,531,129,562,180,349,79,74,19
"BCL10",2903,4222,6741,3603,3226,3946,3256,2172,1584,456,1802,497,851,183,202,89
"BCL11A",2246,3584,8729,3045,556,1358,875,536,3437,959,4013,1175,2643,53,196,11
"BCL11B",28098,61781,85800,51205,55796,52119,54471,31424,41464,9618,38225,10113,30470,1633,1386,1023
"BCL2",14491,21041,26440,12150,24794,16170,18135,10665,10478,3363,11909,3110,8213,472,736,414
"BCL2A1",1189,1167,1744,1123,1155,746,1060,373,399,149,590,144,172,126,152,28
"BCL2L1",3010,3119,9117,3319,980,1283,981,537,2491,802,2285,1037,1702,155,133,82
"BCL2L1-AS1",13,8,22,11,50,44,53,37,30,17,32,8,35,4,0,0
"BCL2L11",2604,6153,4056,5655,4161,6252,2678,3295,4632,748,3776,1502,3964,209,194,228
"BCL2L12",348,446,943,610,141,269,162,119,307,64,232,76,191,16,13,4
"BCL2L13",3196,4578,8789,3576,2872,3902,2991,1372,3180,968,3369,1130,2094,238,285,126
"BCL2L14",314,272,412,194,23,25,13,13,171,48,109,27,60,0,0,1
"BCL2L15",22,33,87,15,54,39,40,55,68,10,47,12,50,2,1,0
"BCL2L2",204,342,997,518,30,73,60,72,301,60,289,95,328,20,24,10
"BCL3",92,151,156,178,584,1435,583,669,255,33,125,28,172,73,45,20
"BCL6",1731,4294,3831,4322,524,1119,720,687,4645,797,3059,1372,2561,214,194,63
"BCL6B",8,9,5,6,6,77,6,6,20,4,11,2,17,1,2,0
"BCL7A",3707,4636,12905,6472,840,1440,1109,744,2324,839,2468,1068,1499,55,260,41
"BCL7B",1428,2514,3403,2252,1837,3407,2181,1782,1710,430,1684,567,1082,234,170,126
"BCL7C",1121,1689,2370,1316,1604,1690,1325,856,914,301,1037,332,592,102,119,66
"BCL9",398,724,1238,605,513,795,719,394,1720,445,1438,410,1680,54,30,18
"BCL9L",442,1140,918,1140,3427,4766,4107,3935,4220,900,2735,566,4376,361,328,250
"BCLAF1",19221,35701,59222,32715,31137,42821,34030,32117,26378,6576,31367,9806,18864,1519,1229,1176
"BCLAF1P2",52,77,179,99,112,94,99,77,41,8,42,15,22,0,0,0
"BCLAF3",714,795,1943,750,626,698,784,695,1026,278,1107,300,1110,32,55,16
"BCO2",38,33,92,32,30,32,16,41,54,20,87,21,72,2,1,0
"BCOR",2255,5815,7499,5244,3336,4157,3049,2805,7490,1762,6120,1673,6205,204,221,93
"BCORL1",74,110,241,158,48,60,73,52,239,57,176,41,318,8,29,8
"BCORP1",0,727,1,0,2,2262,0,0,1789,391,2437,385,1003,46,0,24
"BCR",1919,5342,5489,5924,7456,10258,5763,5630,3535,1040,5176,1379,2884,426,328,288
"BCRP2",38,46,76,59,119,184,75,80,93,19,86,17,105,6,2,0
"BCRP3",9,21,16,32,41,53,17,29,36,13,19,8,19,0,0,2
"BCS1L",463,582,955,585,397,811,335,281,664,159,672,189,416,35,23,10
"BCYRN1",86,47,113,54,25,24,17,14,26,7,33,5,34,2,0,1
"BDH1",828,1269,1889,1215,760,1420,699,574,925,286,939,395,740,49,41,25
"BDH2",1931,2325,4771,1624,1068,2065,772,769,1354,428,1888,582,714,37,30,27
"BDNF-AS",65,81,117,49,46,101,44,34,117,21,119,26,113,3,2,1
"BDP1",3654,7603,9620,7292,11711,15774,11784,9630,12937,4072,15337,4414,10230,492,576,341
"BECN1",3156,4832,8931,4066,4965,6821,5083,3726,3847,1027,3691,1249,2451,344,434,180
"BEGAIN",4,52,40,15,5,39,21,14,35,14,25,10,12,2,3,2
"BEND2",0,1,3,2,16,0,3,0,13,0,0,0,8,11,6,23
"BEND3",439,870,1189,932,218,424,241,222,484,107,428,176,328,27,18,5
"BEND4",477,826,1968,1152,38,219,175,124,559,160,869,283,569,19,55,5
"BEND5",448,575,1062,444,199,295,170,143,460,148,526,114,354,13,20,9
"BEND6",109,78,174,122,7,10,27,10,43,12,90,20,55,0,2,0
"BEST3",11,68,49,17,0,0,0,0,63,11,44,71,36,1,0,1
"BET1",1362,1294,4683,1296,942,1327,862,549,1010,337,1420,410,711,36,56,16
"BET1L",949,1435,2249,1143,1750,1517,1395,1049,1116,309,1031,294,765,85,102,41
"BEX1",29,81,115,56,2,90,4,9,64,28,40,9,20,4,0,1
"BEX2",977,994,4586,844,779,1041,1221,466,1327,531,1304,490,558,37,53,17
"BEX3",2699,3799,8141,3615,944,1768,1464,431,1913,687,2131,896,1220,97,64,62
"BEX4",2844,4093,8154,3691,2232,3670,2437,1385,3147,1215,3757,1448,2102,127,137,76
"BEX5",6,5,27,3,16,44,26,4,14,0,24,0,0,1,0,0
"BFAR",2685,3322,7497,2559,3381,3883,2773,1464,2383,917,3197,901,1590,194,210,97
"BFSP2",58,64,88,26,22,51,33,19,18,5,23,0,15,0,2,0
"BFSP2-AS1",33,44,25,22,6,11,9,6,207,40,207,47,233,2,0,0
"BGN",3,22,9,0,0,1,0,0,41,32,68,28,68,0,0,0
"BHLHB9",396,494,1380,492,310,421,246,224,520,199,544,169,425,15,8,10
"BHLHB9P1",50,50,178,55,1,1,4,0,35,9,30,19,89,0,0,0
"BHLHE23",257,423,349,422,6,2,1,0,27,4,44,28,28,0,0,0
"BHLHE40",1297,2458,1924,4130,2143,2099,2015,1212,1608,178,931,489,800,720,312,276
"BHLHE40-AS1",22,46,64,16,34,56,29,11,36,8,15,12,23,4,6,0
"BHLHE41",23,23,49,16,12,3,57,15,99,29,94,29,134,1,15,0
"BICC1",38,109,164,79,13,34,21,12,103,8,89,53,46,4,1,0
"BICD1",1042,1028,2315,997,626,657,659,497,1122,277,1244,330,1289,30,49,10
"BICD2",2523,5589,7206,6033,4094,4756,4353,2749,5233,1454,5512,1583,3926,435,553,290
"BICDL1",1514,2990,3940,1744,4353,4418,4319,4254,6708,1298,5353,1439,4963,181,157,106
"BICRA",96,136,212,145,190,271,195,258,296,82,231,48,371,33,33,20
"BICRAL",1878,2553,3760,1693,4430,4433,4518,2157,3048,800,2957,747,2887,228,248,116
"BID",3087,3509,7071,3050,1053,1589,1068,577,1124,354,1569,541,809,217,172,71
"BIK",83,66,170,126,47,56,64,27,35,11,57,16,37,8,10,0
"BIN1",3334,5633,7015,3698,9094,11146,7710,4855,6838,1553,5991,1499,3490,590,629,278
"BIN2",3031,6248,8814,4400,19134,21645,16860,9793,8228,2617,8784,2270,7950,1433,1057,706
"BIN3",939,1382,2656,1398,1808,2335,1451,1511,1316,310,1283,340,943,115,94,62
"BIRC2",10266,11230,23670,7818,12844,12638,10530,8400,12864,3261,14273,3798,8445,565,592,441
"BIRC3",14786,21796,35662,13068,37367,37518,29552,20438,12446,2262,11231,3898,6492,743,1603,460
"BIRC5",6135,6308,11411,7501,254,1292,306,187,625,320,1120,506,415,62,11,35
"BIRC6",27692,28903,76183,26037,32083,30798,31202,26641,29495,8187,29834,8522,24161,1698,2168,1174
"BIVM",1779,1757,4854,2004,261,639,341,252,604,253,1086,317,518,26,11,10
"BLCAP",2121,2888,5723,2354,3154,3461,2639,1987,2704,643,2728,715,1858,182,276,102
"BLK",251,929,796,104,267,766,580,114,178,138,809,299,268,79,437,15
"BLM",2203,2557,6832,2222,630,1795,833,590,1984,722,2768,922,1407,65,75,33
"BLMH",4048,5018,10876,5788,2543,4397,2889,1800,3079,1151,3939,1263,2125,209,188,117
"BLNK",32,50,59,31,59,45,398,92,91,13,70,10,52,7,189,2
"BLOC1S1",1221,1462,2009,1225,850,1008,751,455,590,187,796,273,427,54,59,13
"BLOC1S2",2173,2508,5501,2408,1903,2497,2010,1176,1629,495,2112,584,1084,124,222,47
"BLOC1S3",160,330,537,308,513,563,473,284,276,97,241,66,191,38,32,16
"BLOC1S4",740,911,1962,705,952,1014,887,470,666,157,684,166,328,43,84,32
"BLOC1S5",1437,1733,4584,1228,1297,1505,1270,604,1246,440,1589,472,925,57,69,20
"BLOC1S6",7556,9337,18693,7936,5727,7555,6885,4518,5264,1573,6663,1955,4632,386,457,194
"BLVRA",519,743,1164,671,264,446,490,254,413,106,350,164,274,71,84,21
"BLVRB",243,181,464,213,150,173,164,68,127,40,168,44,129,73,84,15
"BLZF1",1525,1990,5293,1531,1381,2459,1583,1294,1819,556,2127,636,1210,64,73,35
"BLZF2P",10,17,50,19,49,46,80,59,54,13,46,6,66,1,1,4
"BMERB1",51,69,89,59,8,39,28,8,66,18,78,23,51,3,1,1
"BMF",2899,4537,5306,4209,509,1302,289,581,1074,429,1143,512,783,112,125,18
"BMI1",2918,3472,9125,3517,2535,2769,3019,1587,1970,594,2408,794,1410,76,153,50
"BMP1",97,132,120,160,105,178,65,108,204,50,182,61,182,16,9,8
"BMP2K",2894,3578,9387,2792,1858,3187,1956,1591,3597,1320,4509,1322,3366,180,266,66
"BMP2K-DT",136,47,153,78,16,8,7,3,38,6,14,9,11,0,3,1
"BMP3",2,15,10,11,0,1,39,2,23,9,26,5,19,1,65,1
"BMP6",4,5,2,6,24,11,23,17,7,1,11,2,9,42,14,39
"BMP7",12,26,38,17,0,5,4,0,63,17,51,17,60,0,0,0
"BMP8B",6,18,21,9,24,24,45,14,19,6,14,3,16,4,8,3
"BMPR1A",115,187,383,100,146,185,253,128,481,87,556,108,405,18,26,7
"BMPR1B",461,261,1609,273,27,32,25,12,74,40,100,57,84,6,1,0
"BMPR2",2704,4632,6848,3021,3241,3966,4216,2389,3299,832,3889,790,2435,170,258,104
"BMS1",2848,4821,9529,5006,3644,5398,3628,3001,4376,1396,5476,1627,3044,226,212,101
"BMS1P1",547,701,1206,576,464,698,514,664,630,232,509,124,581,17,20,6
"BMS1P10",9,23,59,26,12,18,19,14,8,2,7,3,11,1,1,0
"BMS1P2",42,51,120,46,36,37,46,141,64,17,16,11,50,2,1,0
"BMS1P20",182,249,340,255,100,213,113,123,94,22,133,51,65,2,10,1
"BMS1P4",72,59,76,64,39,107,49,63,76,9,70,10,53,2,2,1
"BMT2",4219,3898,9542,3307,4839,3726,3965,2040,2782,693,3291,871,1755,145,158,83
"BNC1",24,28,127,18,0,0,0,0,103,27,104,45,231,0,0,0
"BNC2",49,31,71,15,1,5,16,6,139,34,98,66,146,18,4,33
"BNIP1",999,1434,1528,1277,1088,1577,900,765,538,162,681,222,364,79,46,44
"BNIP2",10519,16691,32222,11875,14202,17975,14901,8417,9623,2833,11852,3510,6207,780,913,399
"BNIP3",692,591,1388,510,1703,1520,1432,652,764,295,1115,229,839,36,46,28
"BNIP3L",10167,11715,21494,10639,9243,12191,8061,6243,6572,1958,8648,2820,4634,468,552,198
"BOC",6,22,25,12,1,1,0,3,71,24,63,26,35,0,0,0
"BOD1",1528,1933,3484,1255,1698,2029,1408,937,1341,433,1788,438,855,95,90,44
"BOD1L1",2281,7076,6101,6436,8805,11716,9832,8531,12682,3791,13014,3603,10138,469,754,315
"BOK",2,6,3,8,3,4,4,3,14,6,140,8,13,33,4,12
"BOLA1",540,517,1420,396,387,540,286,196,354,144,495,126,211,23,21,8
"BOLA2-SMG1P6",233,338,477,293,464,386,287,327,222,43,283,86,229,9,7,10
"BOLA2B",64,68,180,54,81,65,37,35,63,12,85,23,41,9,4,4
"BOLA2P3",23,28,94,19,16,16,15,4,41,4,16,6,20,0,0,1
"BOLA3",826,1107,1592,899,676,825,615,267,246,108,413,147,186,23,13,9
"BOLA3-DT",42,44,119,53,31,58,37,18,36,11,52,9,28,0,2,1
"BOP1",1133,2202,3357,1970,1176,1918,1010,911,1460,408,1413,556,757,127,106,47
"BORA",1179,1314,2841,1118,681,1148,600,500,766,272,1034,324,563,28,32,9
"BORCS5",523,554,1109,503,777,714,617,613,764,135,469,165,638,25,52,25
"BORCS6",363,507,1132,397,305,442,308,139,524,222,722,190,324,58,76,23
"BORCS7",2105,3489,4364,2429,2632,3099,2052,1689,962,263,1542,395,724,104,71,57
"BORCS8",285,325,534,278,354,450,308,240,370,101,305,126,296,24,18,16
"BPGM",1864,2974,4281,2067,2551,3016,1386,1538,1190,353,1565,480,782,77,85,59
"BPHL",416,486,973,415,223,408,230,164,296,79,349,100,213,15,13,3
"BPI",17,220,24,9,1,44,0,2,6,3,7,5,23,26,1,0
"BPNT1",925,1245,2342,1139,796,1211,765,353,911,426,1342,464,616,57,70,19
